tutor_id,name,city,subjects,years_experience,hourly_rate,rating,bio
9,Ali Yousaf,karachi,Social Studies,3, 35 ,3.4,Passionate about student success with individualized lesson plans.
71,Zain Abbasi, RAWALPINDI ,GEOGRAPHY,10,46,5.2,Passionate about student success with individualized lesson plans.
83,Daniyal Farooq,lahore,Urdu,12,,4.5,Passionate about student success with individualized lesson plans.
29,Ahmad Imran,Karachi,Finance Basics,3,N/A,,Passionate about student success with individualized lesson plans.
64,Laiba Yousaf,karachi,Earth Science,5+,PKR 3360,4.9,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc."
1,Hassan Khan,Lahore,"History  , phy, Biology",seven,PKR 7840,3.9,Exam strategy specialist; past students improved by 20–30%.
6,Ahmad Hameed,Faisalabad,"  Life Sciences  ,    COMPUTER SCIENCE  ,  ACCOUNTING",1,PKR 2800,,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc."
51,Hassan Nawaz, Lahore ,,3,45usd,4.1,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc."
82,Laiba Javed, faisalabad ,"LANGUAGE ARTS  ,,,CHEMISTRY, Biology",4,$18,4.4,Exam strategy specialist; past students improved by 20–30%.
5,Anaya Khan,RAWALPINDI,Urdu,4,"34,-",,Flexible scheduling; online and in-person options.
24,Mariam Farooq,ISLAMABAD,"LANGUAGE ARTS, MATH",2,46usd,4.8,Flexible scheduling; online and in-person options.
66,Omar Khalid,lahore,Coding,12,$49,4.5,Flexible scheduling; online and in-person options.
77,Mariam Butt,Lahore,computer science,2 years,31,4.3,Flexible scheduling; online and in-person options.
61,Hassan Malik,Rawalpindi, Organic Chem ,9,$30,4.1,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc."
25,Mariam Sheikh,Karachi,GEOGRAPHY,5,36,3.5,Focused on fundamentals and problem-solving habits.
43,Amna Abbasi,Islamabad,"PHYSICS, math",—,19,4.5,Focused on fundamentals and problem-solving habits.
78,Fatima Malik,RAWALPINDI,"PHYSICS , ORGANIC CHEM",5,PKR 11200,4.7,Focused on fundamentals and problem-solving habits.
39,Ali Khan,lahore,CHEM,8,$43,5.1,Project-based learning advocate; hands-on examples.
57,Amna Sheikh,Islamabad," LANGUAGE ARTS  , Geography",15,N/A,3.5,Flexible scheduling; online and in-person options.
76,Hamza Mir,Rawalpindi,"BIOLOGY, Accounting",5, 12 ,3.8,Exam strategy specialist; past students improved by 20–30%.
36,Usman Raza,rawalpindi,"PHY ,   finance basics  ",7,24,4.8,Exam strategy specialist; past students improved by 20–30%.
89,Usman Imran,Islamabad,"CODING,  Geography  , Accounting",1,$12,4.0,Focused on fundamentals and problem-solving habits.
20,Ali Khan,FAISALABAD,"  Eng , Physics, Math",3,$42,4.9,Passionate about student success with individualized lesson plans.
30,Saad Nawaz,Islamabad,"ACCOUNTING, pak studies , ORGANIC CHEM",2+,"31,-",4.0,Project-based learning advocate; hands-on examples.
32,Noor Sheikh,Islamabad,"computer science, SOCIAL STUDIES",7,10,3.3,Exam strategy specialist; past students improved by 20–30%.
92,Hassan Butt,Rawalpindi,"CHEMISTRY, Geography, literature",5, 18 ,N/A,Flexible scheduling; online and in-person options.
86,Ali Yousaf,rawalpindi,Physics,6, 30 ,3.8,Exam strategy specialist; past students improved by 20–30%.
10,Anaya Abbasi,lahore,organic chem,8+,"42,-",4.0,Passionate about student success with individualized lesson plans.
54,Amna Malik,Karachi, URDU,3,13,4.4,Project-based learning advocate; hands-on examples.
42,Hassan Yousaf, lahore ,"social studies, CODING, Mechanics",2 years,$38,5.6,Passionate about student success with individualized lesson plans.
22,Usman Mir,Faisalabad,"Geo,   LANGUAGE ARTS ,   COMPUTER SCIENCE  ",5,$22,4.6,Focused on fundamentals and problem-solving habits.
91,Amna Anwar,RAWALPINDI,"english, Language Arts,,,Maths  ",1,PKR 11760,3.5,Exam strategy specialist; past students improved by 20–30%.
34,Amna Khalid,Islamabad," Language Arts  , English",3+,40,5.1,Flexible scheduling; online and in-person options.
70,Mariam Hussain,islamabad,"ACCOUNTING, chem",1,32,,"Bilingual; comfortable with ICSE, O/A Levels, Matric/FSc."
