employee_id,name,department,salary,performance,hire_date
EMP000,Bob Smith 000,Engineering,76048,Good,2020-04-02
EMP001,Carol Davis 001,Operations,53434,Excellent,2022-04-24
EMP002,Grace Lee 002,Engineering,43905,Excellent,2020-03-23
EMP003,David Wilson 003,Finance,118907,Excellent,2022-02-23
EMP004,David Wilson 004,Operations,111426,Poor,2020-03-27
EMP005,Henry Taylor 005,Finance,76463,Excellent,2023-04-04
EMP006,Carol Davis 006,Operations,95392,Average,2020-07-23
EMP007,Carol Davis 007,Marketing,84118,Excellent,2019-07-09
EMP008,Grace Lee 008,Engineering,87052,Average,2022-05-21
EMP009,Eva Brown 009,Engineering,100217,Excellent,2021-02-14
EMP010,Bob Smith 010,Finance,78427,Average,2022-03-28
EMP011,David Wilson 011,Operations,49116,Excellent,2022-09-16
EMP012,David Wilson 012,Sales,50458,Good,2023-11-10
EMP013,Bob Smith 013,HR,76434,Poor,2022-07-25
EMP014,Frank Miller 014,Marketing,88520,Average,2020-03-05
EMP015,Eva Brown 015,Operations,49358,Good,2021-12-29
EMP016,David Wilson 016,Marketing,100589,Poor,2020-07-06
EMP017,Ivy Chen 017,Marketing,82504,Excellent,2020-04-14
EMP018,Alice Johnson 018,Sales,92581,Average,2019-05-16
EMP019,David Wilson 019,Finance,81245,Good,2022-09-04
EMP020,Henry Taylor 020,HR,100142,Good,2020-06-26
EMP021,Carol Davis 021,Marketing,113579,Average,2023-03-10
EMP022,Jack Anderson 022,HR,116484,Poor,2021-01-11
EMP023,David Wilson 023,Marketing,106784,Poor,2019-07-06
EMP024,Alice Johnson 024,Engineering,60033,Good,2023-06-11
EMP025,Grace Lee 025,Finance,48326,Poor,2021-02-20
EMP026,Jack Anderson 026,HR,109352,Average,2022-02-07
EMP027,Alice Johnson 027,Operations,55014,Average,2023-04-24
EMP028,Frank Miller 028,Engineering,78469,Poor,2019-11-20
EMP029,Henry Taylor 029,Engineering,74522,Good,2021-11-05
EMP030,Bob Smith 030,Operations,79117,Good,2019-11-10
EMP031,Frank Miller 031,Marketing,110697,Excellent,2022-05-11
EMP032,Frank Miller 032,HR,42552,Excellent,2021-01-13
EMP033,Eva Brown 033,Marketing,47592,Good,2023-12-04
EMP034,Jack Anderson 034,Engineering,51226,Poor,2023-07-30
EMP035,Bob Smith 035,Finance,56483,Good,2022-09-13
EMP036,Henry Taylor 036,Finance,61643,Average,2021-12-16
EMP037,Jack Anderson 037,HR,67760,Good,2022-12-31
EMP038,Eva Brown 038,HR,88944,Poor,2021-11-25
EMP039,Henry Taylor 039,Engineering,72493,Good,2019-05-12
EMP040,Frank Miller 040,Engineering,117110,Good,2022-04-20
EMP041,David Wilson 041,Engineering,49305,Excellent,2020-04-13
EMP042,Bob Smith 042,Engineering,83309,Excellent,2021-11-18
EMP043,David Wilson 043,Sales,103624,Good,2022-01-09
EMP044,Carol Davis 044,Operations,114847,Poor,2020-05-12
EMP045,Henry Taylor 045,HR,64957,Excellent,2019-07-18
EMP046,Grace Lee 046,Sales,95519,Poor,2021-08-14
EMP047,Alice Johnson 047,Operations,52899,Excellent,2021-04-04
EMP048,Frank Miller 048,Engineering,72591,Good,2020-01-25
EMP049,Ivy Chen 049,HR,58373,Poor,2020-01-11
EMP050,Eva Brown 050,HR,72742,Excellent,2021-06-26
EMP051,Ivy Chen 051,Engineering,46630,Excellent,2019-07-11
EMP052,David Wilson 052,Marketing,93269,Poor,2021-09-12
EMP053,David Wilson 053,HR,47685,Good,2021-02-15
EMP054,Alice Johnson 054,HR,74760,Poor,2020-08-07
EMP055,Grace Lee 055,Operations,112845,Poor,2019-11-14
EMP056,David Wilson 056,Sales,68534,Excellent,2022-04-01
EMP057,Ivy Chen 057,Engineering,81104,Excellent,2019-04-13
EMP058,Jack Anderson 058,HR,105909,Good,2019-04-27
EMP059,Ivy Chen 059,Engineering,64356,Excellent,2022-05-03
EMP060,Bob Smith 060,Operations,70828,Poor,2019-09-03
EMP061,Jack Anderson 061,Marketing,115880,Excellent,2022-06-22
EMP062,Bob Smith 062,HR,116503,Average,2020-06-18
EMP063,David Wilson 063,Operations,81180,Good,2020-06-27
EMP064,Grace Lee 064,Marketing,79321,Poor,2020-10-09
EMP065,Bob Smith 065,Engineering,100068,Excellent,2019-05-31
EMP066,Ivy Chen 066,Marketing,106307,Average,2019-09-29
EMP067,Frank Miller 067,Engineering,72018,Average,2020-08-06
EMP068,Carol Davis 068,HR,111200,Average,2022-06-06
EMP069,Ivy Chen 069,Engineering,112692,Average,2022-09-20
EMP070,Bob Smith 070,Marketing,74664,Excellent,2023-12-28
EMP071,Bob Smith 071,Operations,112512,Good,2020-07-11
EMP072,Eva Brown 072,Finance,67607,Average,2020-02-21
EMP073,Eva Brown 073,Finance,104032,Average,2023-09-29
EMP074,Alice Johnson 074,Engineering,95518,Average,2019-04-01
EMP075,Alice Johnson 075,Sales,57146,Average,2019-11-27
EMP076,Henry Taylor 076,Finance,96057,Excellent,2019-08-18
EMP077,Bob Smith 077,Operations,59536,Excellent,2023-09-06
EMP078,Frank Miller 078,Finance,112420,Good,2021-05-30
EMP079,Carol Davis 079,Engineering,80404,Average,2023-06-19
EMP080,Alice Johnson 080,Sales,67535,Good,2022-09-27
EMP081,Bob Smith 081,Sales,113385,Poor,2022-06-25
EMP082,Carol Davis 082,Marketing,61299,Good,2023-12-11
EMP083,Grace Lee 083,Engineering,63509,Average,2023-05-22
EMP084,Grace Lee 084,Operations,72527,Average,2019-11-23
EMP085,Bob Smith 085,HR,45075,Poor,2020-03-31
EMP086,David Wilson 086,HR,85830,Average,2023-08-08
EMP087,David Wilson 087,Marketing,43101,Good,2021-03-27
EMP088,Frank Miller 088,Sales,49099,Average,2020-12-20
EMP089,Ivy Chen 089,HR,110282,Average,2019-02-26
